Type	English	Croatian	French	Spanish	Romanian	German	Portuguese
Aliens	We had a bit of difficulty pronouncing the dialect of the alien race correctly. Our diplomat accidentally called `Fire!` instead of `Peace!`		Nous avons rencontré quelques difficultés à prononcer correctement ce dialecte extraterrestre et notre diplomate a crié "faisons feu !" au lieu de "faisons la paix !"	Tuvimos dificultades para pronunciar correctamente el dialecto de una raza alienígena. Nuestro diplomático gritó "¡Fuego!" en lugar de "¡Paz!".		Wir hatten Mühe den korrekten Dialekt einer Alienrasse auszusprechen. Unser Diplomat rief daher "Feuer!" statt "Friede!".	Encontrámos algumas dificuldades em pronunciar correctamente o dialecto da raça extraterrestre. Acidentalmente, o nosso diplomata gritou "Fogo!" em vez de "Paz!".
Aliens	A large Armada of crystalline ships of unknown origin take a direct collision course with our expedition-fleet. We should assume the worst.		Une flotte de vaisseaux cristallins va entrer en collision avec notre flotte d`expédition d`ici peu. Nous devons nous préparer au pire.	Una gran formación de naves cristalinas de origen desconocido va directa a colisionar con nuestra expedición. Tenemos que asumir lo peor.		Ein großer Verband kristalliner Schiffe unbekannter Herkunft hält direkten Kollisionskurs mit unserer Expeditionsflotte. Wir müssen nun wohl vom Schlimmsten ausgehen.	Uma grande Frota de naves cristalinas de origem desconhecida está em rota de ataque contra a tua frota de exploração. Por agora temos de assumir o pior.
Aliens	Your expedition ran into an alien invasion fleet and reports heavy fighting!		Votre mission d`expédition a rencontré une flotte d`invasion alien et vous annonce qu`elle est engagée dans un combat féroce.	Tu expedición encontró una flota alien de invasión y reporta duras batallas		Deine Expedition ist in eine Alien-Invasionsflotte geraten und meldet schwere Gefechte.	A tua frota de exploração foi atacada por uma Frota Invasora Alienígena. Há relatórios de grandes confrontos!
Pirates	We needed to fight some pirates which were, fortunately, only a few.		Nous avons dû nous défendre contre des pirates, heureusement qu`ils n`étaient pas trop nombreux.	Tuvimos que luchar contra algunos piratas que por suerte no eran muchos.	Am fost nevoiti sa ne luptam cu niste pirati care, din fericire, erau putini.	Wir mussten uns gegen einige Piraten wehren, die zum Glück nicht allzu zahlreich waren.	Tivemos de combater com uns piratas que por sorte não eram muito fortes
Pirates	We caught some radio transmissions from some drunk pirates. Seems like we will be under attack soon.		Nous avons capté des messages provenant de pirates fortement alcoolisés. Apparemment, ils veulent nous détrousser.	Capturamos algunos mensajes de radio de algunos piratas borrachos. Pareciera como si nos quisieran atacar.	Am prins un mesaj radio de la niste pirati beti. Se pare ca vom fi atacati in curand.	Wir haben ein paar Funksprüche sehr betrunkener Piraten aufgefangen. Anscheinend sollen wir überfallen werden.	Apanhamos umas mensagens via rádio e estas eram de uns piratas bêbados. Parece que vamos ser atacados.
Pirates	Some primitive barbarians are attacking us with spaceships that can`t even be named as such. If the fire gets serious we will be forced to fire back.		Des barbares primitifs nous attaquent avec des vaisseaux qui n`ont même pas mérité le nom "vaisseau", tellement ils sont ridicules. Si ces attaques continuent, nous nous verrons obligés de riposter.	Algunos bárbaros primitivos están atacándonos con naves espaciales que no deberían ser llamadas así. Si nos disparan en serio nos veremos forzados a devolver el fuego. 	Niste pirati ne ataca cu nave inferior tehnologice.Daca focul devine serios vom fi nevoiti sa ripostam.	Einige primitive Barbaren greifen uns mit Raumschiffen an, die nicht einmal ansatzweise die Bezeichnung Raumschiff verdient haben. Sollte der Beschuss ernstzunehmende Ausmaße annehmen, sehen wir uns gezwungen, das Feuer zu erwidern.	Uns bárbaros primitivos estão nos a atacar com uma espécie de naves espaciais. Se os nossos escudos ficarem a 50% seremos obrigados a disparar contra eles.
Pirates	Some really desperate space pirates tried to capture our expedition fleet.		Quelques pirates, apparemment complètement désespérés, ont tenté d`attaquer notre flotte d`expédition.	Algunos piratas realmente desesperados intentaron capturar nuestra flota de expedición.	Cativa pirati ai spatiului foarte disperati au incercat sa-ti captureze flota de expeditie.	Ein paar anscheinend sehr verzweifelte Weltraumpiraten haben versucht, unsere Expeditionsflotte zu kapern.	Alguns piratas desesperados tentaram capturar a nossa frota de expedição.
Pirates	We ran straight into an ambush set by some Star Buccaneers! A fight couldn`t be avoided.		Nous sommes tombés dans un piège tendu par des pirates de l`espace ! Le combat n`a pû être évité.	¡Caimos en una emboscada organizada por algunos bucaneros estelares! La batalla no se pudo evitar.		Wir sind in den Hinterhalt einiger Sternen-Freibeuter geraten! Ein Kampf war leider unvermeidlich.	Nós fomos directos para uma emboscada efectuada por alguns piratas estelares. Tentamos resolver pela via diplomática mas só com as armas é que conseguimos dialogar.
Pirates	That emergency signal that the expedition team followed was in reality an ambush set up by some Star Buccaneers. A fight could not be avoided.		Le message de secours était en fait un guet-apens, le combat avec les pirates était inévitable.	La señal de emergencia que la expedición siguió, resultó ser un montaje de algunos bucaneros estelares. La batalla no se pudo evitar.	Semnalul de urgenta pe care l-a urmat expeditia a fost pus de ceva buccaneri ai stelelor. O lupta nu a putut fi evitata.	Die aufgefangenen Signale stammten nicht von Fremdwesen, sondern von einer geheimen Piratenbasis! Die Piraten waren von unserer Anwesenheit in ihrem Sektor nicht besonders begeistert.	O sinal de emergência que a expedição recebeu era um engodo colocado por uns piratas estelares. Não pudemos evitar o confronto!
Pirates	The expedition reports tough battles against unidentified pirate ships.		Votre flotte d`expédition nous signale de lourds combats avec une flotte de pirates non identifiés.	¡Tu expedición informa de duras batallas contra naves piratas sin identificar!		Die Expeditionsflotte meldet schwere Kämpfe mit nicht-identifizierten Piratenschiffen.	O relatório de expedição relata batalhas épicas contra naves-pirata não identificadas!
Pirates	Your expedition had an unpleasant rendezvous with some space pirates.		Votre flotte d`expédition a fait une rencontre fort peu agréable avec des pirates de l`espace.	Tu expedición tuvo un desagradable encuentro con algunos piratas espaciales.	Expeditia ta a avut o intalnire neplacuta cu ceva pirati spatiali.	eine Expeditionsflotte hatte ein unschönes Zusammentreffen mit einigen Weltraumpiraten.	A tua expedição deparou-se com uma, não muito agradável, frota pirata.
Pirates	The recorded signals didn`t come from a foreign being but from a secret pirate base! They were not really surprised by our presence in their sector.		Les signaux que nous ne pouvions identifier ne provenaient pas d`une espèce inconnue mais d`une base de pirates secrète ! Ils n`ont apparemment pas vraiment été ravis de découvrir que nous étions dans leur secteur.	¡Las señales no provenían de un extranjero sino de una base pirata secreta! Ellos no estaban sorprendidos realmente por nuestra presencia en el sector.		Die aufgefangenen Signale stammten nicht von Fremdwesen, sondern von einer geheimen Piratenbasis! Die Piraten waren von unserer Anwesenheit in ihrem Sektor nicht besonders begeistert.	Os sinais gravados não foram emitidos por um ser estranho mas sim por uma base pirata secreta! Eles tão ficaram surpreendidos com a nossa presença neste quadrante.
Merchant	Your expedition fleet made contact with a friendly alien race. They announced that they would send a representative with goods to trade to your worlds.		Votre expédition a eu un bref contact avec une espèce alien visiblement très timide. Ils vous ont annoncé qu`ils enverraient dans votre empire un représentant chargé de ressources à échanger.	Tu flota en expedición tuvo un corto contacto con una raza de aliens un poco vergonzosa. Estos anunciaron que van a enviar a un representante con bienes de comercio a tus mundos.		Deine Expeditionsflotte hatte kurzen Kontakt zu einer scheuen Alien-Rasse. Diese hat verkündet, einen Repräsentanten mit Tauschwaren in deine Welten schicken zu wollen.	A tua frota contactou com uma raça alienígena tímida. Eles anunciaram que irão enviar um representante com mercadorias para trocar nos nossos mundos.
Merchant	Your expedition picked up an emergency signal during the mission. A mega cargo vessel was caught by a powerful gravitation field generated by a planetoid. After the vessel and cargo was successfully freed, the captain announced that the person who saved them would be their favorite and exclusive client.		Votre flotte d`expédition a recueilli un signal d`urgence. Il s`agissait d`un supertransporteur pris dans le fort champ de gravité d`une planète hostile. Après que vous l`ayez aidé à libérer son vaisseau du champ, le capitaine du supertransporteur vous annonce qu`il vous ajoute dans sa liste de clients privilégiés.	Tu expedición captura un grito de ayuda. Era una gran nave de carga que fue capturada por un potente campo gravitacional de un planetoide. Después de que la nave de carga fuese liberada con éxito, el capitán de celebración anunció que va a poner a su liberador en su libro negro como cliente exclusivo preferido.		Deine Expeditionsflotte hatte ein Notsignal aufgefangen. Es handelte sich um einen Megafrachter, der im starken Gravitationsfeld eines Planetoiden gefangen war. Nachdem der Frachter erfolgreich befreit worden war, verkündete der Frachterkapitän feierlich, seine Befreier als bevorzugte Exklusivkunden in sein schwarzes Buch aufzunehmen	A tua expedição recebeu um sinal de emergência. Um enorme cargueiro foi apanhado dentro dum poderoso campo gravitacional gerado por um planetóide. Depois de ajudar o cargueiro a libertar-se o capitão da nave anunciou que iria visitar os nossos planetas e iria fazer descontos especiais em trocas de recursos.
Bhole	The only thing left from the expedition was the following radio transmission: Zzzrrt Oh no! Krrrzzzzt That zrrrtrzt looks krgzzzz like .. AHH! Krzzzzzzzztzzzz... Transmission terminated		Voici le dernier signe de vie de l`expédition : ZZZrrt Oh mon dieu ! krrzrzzzt Cela zrrrtrzt ressemble krgzzz à un krzzzzzzzzz....	Lo único que quedó de la expedición fue el siguiente mensaje de radio: Zzzrrt Mierda! Krrrzzzzt Eso zrrrtrzt parece krgzzzz como Krzzzzzzzztzzzz...	Singurul lucru ramas de la expeditie a fost urmatoarea transmisie radio: Zzzrrt Doamne! Krrrzzzzt Acea zrrrtrzt arata krgzzzz ca Krzzzzzzzztzzzz...	Von der Expedition ist nur noch folgender Funkspruch übrig geblieben: Zzzrrt Oh Gott! Krrrzzzzt dass zrrrtrzt sieht krgzzzz ja aus wie Krzzzzzzzztzzzz ...	O último contacto que tivemos da frota em missão foi a seguinte mensagem: Zzzrrt Deus! Krrrzzzzt Aquilo zrrrtrzt Parece krgzzzz uma Krzzzzzzzztzzzz...
Bhole	A core meltdown of the lead ship leads to a chain reaction, which destroys the entire expedition fleet in a spectacular explosion.		Un incident dans le noyau atomique d`un des vaisseaux a provoqué une réaction en chaîne, détruisant toute l`expédition dans une explosion immense et spectaculaire.	Una fusión del núcleo de la nave insignia produce una reacción en cadena que destruye de una forma bastante espectacular la flota entera en expedición.	O supra alimentare a miezului navei mama duce la o reactie in lant care distruge intr-o explozie destul de spectaculoasa intreaga flota de expeditie.	Ein Kernbruch des Führungsschiffes führte zu einer Kettenreaktion, die in einer durchaus spektakulären Explosion die gesamte Expedition vernichtete.	Uma falha no núcleo do motor da nave-mãe leva a uma reacção em cadeia que destrói, de uma forma espectacular, toda a frota.
Bhole	The last transmission we received from the expedition fleet was this magnificent picture of the opening of a black hole. 	Jedina stvar koja je ostala od cijele ekspedicije je vrlo dobra slika crne rupe koja se stvara.	L`expédition nous a envoyé des clichés extrêmement précis et détaillés d`un trou noir en cours de formation. Malheureusement, peu après, nous avons perdu le contact avec notre flotte	La última transmisión que obtuvimos de la flota de expedición fueron las excelentes fotos que enseñaban un agujero negro que se estaba abriendo.		Das Letzte, was von dieser Expedition noch gesendet wurde, waren einige unglaublich gut gelungene Nahaufnahmen eines sich öffnenden schwarzen Lochs	As últimas imagens que obtivemos da frota em expedição foram umas imagens bastante próximas de um buraco negro a nascer
Bhole	Contact with the expedition fleet was suddenly lost. Our scientists are still trying to establish contact, but it seems the fleet is lost forever.		Notre flotte d`expédition a disparu après être passé en mode hyperespace et n`est jamais réapparue. Nos scientifiques n`ont aucune idée de ce qui a pu se passer, mais la flotte semble perdue.	El contacto con la flota de expedición ha sido cortada de repente. Nuestros académicos están aún intentando descubrir qué pasó, pero parece que la flota se perdió para siempre. 		Die Expeditionsflotte ist nicht mehr aus dem Sprung in den Normalraum zurückgekehrt. Unsere Wissenschaftler rätseln noch immer, was geschehen sein könnte, jedoch scheint die Flotte endgültig verloren zu sein.	A frota em missão não conseguiu voltar do salto de hiperespaço. Os nossos cientistas ainda estão a tentar compreender o que aconteceu mas pelo que parece a frota foi totalmente perdida.
